         ps       /mp3_tb/dut/caches/dmem_cache/pmem_address                           /mp3_tb/dut/caches/dmem_cache/pmem_wdata                           /mp3_tb/dut/caches/dmem_cache/pmem_rdata        
          delta       /mp3_tb/dut/caches/dmem_cache/pmem_write                            /mp3_tb/dut/caches/dmem_cache/pmem_read                                                                         
          0  +0                                     xxxxxxxx x xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 
          0  +1                                     00000000 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 
          0  +2                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    1325000  +8                                     000005b0 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    1335000 +10                                     000005b0 0 0000000000000000000000000000000000000000000000000000000000000000 1 00000013000000135027a2230000079700000013000000130000001300f47113 
    1345000  +6                                     000005b0 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    1625000  +9                                     000005b0 0 0000000000000000000000000000000000000000000000000000000000000000 1 00000013000000135027a2230000079700000013000000130000001300f47113 
    1625000 +11                                     000005b0 0 0000000000000000000000000000000000000000000000000000000000000000 1 892189210000123400001010fffffffff00bf00bd0cad0ca0000600d00000000 
    1635000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 892189210000123400001010fffffffff00bf00bd0cad0ca0000600d00000000 
    1635000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    2175000  +8                                     00000580 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    2185000 +10                                     00000580 0 0000000000000000000000000000000000000000000000000000000000000000 1 5017ac2300000797000000130000001300000013000080930000001300000013 
    2195000  +6                                     00000580 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    2475000  +9                                     00000580 0 0000000000000000000000000000000000000000000000000000000000000000 1 5017ac2300000797000000130000001300000013000080930000001300000013 
    2475000 +11                                     00000580 0 0000000000000000000000000000000000000000000000000000000000000000 1 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 
    2485000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 
    2485000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    2485000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    2495000  +5                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    2895000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    2905000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    2995000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    3005000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    3415000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    3425000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    4885000  +8                                     000005c0 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    4895000 +10                                     000005c0 0 0000000000000000000000000000000000000000000000000000000000000000 1 4ac22203000002170000001300000013000000134bc1a1830000019700000013 
    4905000  +6                                     000005c0 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    5185000  +9                                     000005c0 0 0000000000000000000000000000000000000000000000000000000000000000 1 4ac22203000002170000001300000013000000134bc1a1830000019700000013 
    5185000 +11                                     000005c0 0 0000000000000000000000000000000000000000000000000000000000000000 1 abbaabba00000110abcdabcd88888888ba11ba1100006969cccccccc99999999 
    5195000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 abbaabba00000110abcdabcd88888888ba11ba1100006969cccccccc99999999 
    5195000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    5225000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    5235000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    5645000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    5655000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    7155000  +8                                     00000570 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    7165000 +10                                     00000570 0 0000000000000000000000000000000000000000000000000000000000000000 1 00000013ffb0809300000013000000130000001300c080935104041300000417 
    7175000  +6                                     00000570 0 0000000000000000000000000000000000000000000000000000000000000000 1 0000000000000000000000000000000000000000000000000000000000000000 
    7455000  +9                                     00000570 0 0000000000000000000000000000000000000000000000000000000000000000 1 00000013ffb0809300000013000000130000001300c080935104041300000417 
    7455000 +11                                     00000570 0 0000000000000000000000000000000000000000000000000000000000000000 1 00010610beadbead0000700f00000000000080670e008093000000970637ae23 
    7465000  +3                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 00010610beadbead0000700f00000000000080670e008093000000970637ae23 
    7465000  +4                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    7465000  +6                                     00000000 0 00010610beadbead0000700f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
    7475000  +5                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    7815000  +6                                     00000000 0 00010610beadbead0000700f00000000000080670e008093000000970637ae23 0 0000000000000000000000000000000000000000000000000000000000000000 
    7825000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    7855000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    7865000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    7895000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    7905000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    7935000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    7945000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    8295000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    8305000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    8335000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    8345000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    8375000  +6                                     00000000 0 dddddddd0000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
    8385000  +6                                     00000000 0 0000000000000000000000000000000000000000000000000000000000000000 0 0000000000000000000000000000000000000000000000000000000000000000 
    9695000  +6                                     00000000 0 b006b0060000600fb006b006f0edf0ed00000042d22dd22d00001eafdeebdeeb 0 0000000000000000000000000000000000000000000000000000000000000000 
